@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter-D../irteera/convert-grayscale/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute 'MPEG-7 Color Layout0' numeric
@attribute 'MPEG-7 Color Layout1' numeric
@attribute 'MPEG-7 Color Layout2' numeric
@attribute 'MPEG-7 Color Layout3' numeric
@attribute 'MPEG-7 Color Layout4' numeric
@attribute 'MPEG-7 Color Layout5' numeric
@attribute 'MPEG-7 Color Layout6' numeric
@attribute 'MPEG-7 Color Layout7' numeric
@attribute 'MPEG-7 Color Layout8' numeric
@attribute 'MPEG-7 Color Layout9' numeric
@attribute 'MPEG-7 Color Layout10' numeric
@attribute 'MPEG-7 Color Layout11' numeric
@attribute 'MPEG-7 Color Layout12' numeric
@attribute 'MPEG-7 Color Layout13' numeric
@attribute 'MPEG-7 Color Layout14' numeric
@attribute 'MPEG-7 Color Layout15' numeric
@attribute 'MPEG-7 Color Layout16' numeric
@attribute 'MPEG-7 Color Layout17' numeric
@attribute 'MPEG-7 Color Layout18' numeric
@attribute 'MPEG-7 Color Layout19' numeric
@attribute 'MPEG-7 Color Layout20' numeric
@attribute 'MPEG-7 Color Layout21' numeric
@attribute 'MPEG-7 Color Layout22' numeric
@attribute 'MPEG-7 Color Layout23' numeric
@attribute 'MPEG-7 Color Layout24' numeric
@attribute 'MPEG-7 Color Layout25' numeric
@attribute 'MPEG-7 Color Layout26' numeric
@attribute 'MPEG-7 Color Layout27' numeric
@attribute 'MPEG-7 Color Layout28' numeric
@attribute 'MPEG-7 Color Layout29' numeric
@attribute 'MPEG-7 Color Layout30' numeric
@attribute 'MPEG-7 Color Layout31' numeric
@attribute 'MPEG-7 Color Layout32' numeric
@attribute class {K1,K2,K3,K4,K5,K6}

@data
12,13,16,12,15,17,12,16,14,14,20,15,20,16,15,14,16,15,16,15,17,32,16,16,16,16,16,32,16,16,16,16,16,K2
14,20,22,14,17,12,17,17,19,19,24,17,25,16,17,14,16,16,18,19,18,32,16,16,16,16,16,32,16,16,16,16,16,K2
48,18,19,10,12,17,14,15,13,14,22,15,24,15,19,12,15,12,16,17,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
11,16,18,9,14,17,15,16,13,16,21,15,15,14,18,14,16,15,17,16,14,32,16,16,16,16,16,32,16,16,16,16,16,K2
30,28,8,7,15,28,14,7,14,12,18,12,14,18,16,9,18,16,15,14,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,15,16,13,16,14,15,16,15,15,17,15,18,16,15,15,15,15,16,16,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
45,20,16,22,15,28,23,16,17,15,25,16,17,14,14,19,17,18,15,17,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
32,17,28,17,14,24,18,21,11,12,15,13,14,18,18,15,15,17,10,17,13,32,16,16,16,16,16,32,16,16,16,16,16,K2
32,17,28,18,14,24,18,22,12,12,15,13,15,17,17,15,15,17,11,16,14,32,16,16,16,16,16,32,16,16,16,16,16,K2
39,11,27,27,16,15,13,17,19,18,24,14,21,16,16,14,14,17,14,16,10,32,16,16,16,16,16,32,16,16,16,16,16,K2
6,15,18,16,14,16,16,15,14,17,19,15,16,15,16,16,15,15,15,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,16,19,14,16,15,16,17,15,14,18,15,18,16,17,16,16,15,14,15,17,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,16,18,14,16,15,16,17,16,16,18,16,19,16,16,16,16,16,16,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
6,15,17,13,15,14,16,15,16,16,17,15,19,15,16,16,15,16,16,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,16,15,16,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,16,17,13,17,14,16,16,17,15,16,15,18,16,16,15,16,16,16,15,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
50,15,23,27,14,17,15,18,16,16,19,18,20,14,14,15,15,16,15,14,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
45,16,7,17,18,19,15,11,14,19,17,14,16,16,16,16,15,15,20,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
37,11,14,5,12,28,15,15,14,14,24,16,20,14,24,16,20,14,17,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
25,18,6,14,18,23,20,6,14,13,24,18,27,14,16,18,15,16,17,14,18,32,16,16,16,16,16,32,16,16,16,16,16,K2
15,19,26,12,13,17,17,23,13,17,24,16,22,16,17,16,15,14,17,18,18,32,16,16,16,16,16,32,16,16,16,16,16,K2
14,13,22,9,13,9,14,18,13,17,24,13,26,14,16,14,16,15,18,16,17,32,16,16,16,16,16,32,16,16,16,16,16,K2
6,17,16,11,16,12,16,16,14,15,19,15,19,15,14,16,15,16,15,15,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,18,17,17,15,17,16,15,16,16,17,15,15,16,16,15,15,15,15,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
21,17,7,15,13,15,15,11,16,12,20,17,20,13,16,14,18,15,15,16,17,32,16,16,16,16,16,32,16,16,16,16,16,K2
